EbN0_dB,BER_Hamming_Original,BER_Hamming_Fair,BER_BPSK_Theory
0,0.0439914285714286,0.120371428571429,0.0786496035251426
1,0.0241642857142857,0.0849171428571429,0.0562819519765415
2,0.0113114285714286,0.0545442857142857,0.037506128358926
3,0.00436857142857143,0.0325542857142857,0.0228784075610853
4,0.00121,0.0158585714285714,0.0125008180407376
5,0.000335714285714286,0.00701285714285714,0.00595386714777866
6,6e-05,0.00237714285714286,0.00238829078093281
7,4.28571428571429e-06,0.000601428571428571,0.000772674815378444
8,4.28571428571429e-06,8.14285714285714e-05,0.000190907774075993
9,0,4.28571428571429e-06,3.36272284196176e-05
10,0,0,3.87210821552205e-06
